longitud_url,longitud_host,longitud_ruta,longitud_consulta,longitud_tld,cantidad_puntos,cantidad_guiones,cantidad_guion_bajo,cantidad_arroba,cantidad_interrogacion,cantidad_igual,cantidad_ampersand,cantidad_slash,cantidad_porcentaje,cantidad_digitos,cantidad_especiales,ratio_digitos,ratio_especiales,tiene_https,tiene_ip,cantidad_subdominios,tiene_puerto,palabras_sospechosas,tiene_punycode,tiene_redireccion_doble_slash,tiene_http_en_ruta,token_mas_largo,entropia_shannon,entropia_relativa,es_acortador,tiene_marca_en_host,tiene_prefijo_sufijo_host,cantidad_www,cantidad_digitos_host,ratio_digitos_host,estado_binario
38.0,29.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,0.07894736842105263,0.18421052631578946,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.491219947597179,0.8558083045339416,0.0,0.0,1.0,0.0,3.0,0.10344827586206896,1
32.0,23.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.1875,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.8042292966721747,0.7608458593344349,0.0,0.0,0.0,0.0,0.0,0.0,0
57.0,16.0,22.0,10.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,10.0,0.017543859649122806,0.17543859649122806,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,4.376859865749109,0.7503758608717513,0.0,1.0,0.0,0.0,0.0,0.0,1
27.0,19.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.930270372293455,0.8265748391534367,0.0,0.0,0.0,1.0,0.0,0.0,0
28.0,20.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.21428571428571427,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.94075983254009,0.8197355711055757,0.0,0.0,0.0,1.0,0.0,0.0,0
37.0,19.0,11.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.1891891891891892,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,3.9927087708004674,0.7664352650018238,0.0,0.0,0.0,0.0,0.0,0.0,1
33.0,25.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.06060606060606061,0.18181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1272831343132905,0.8181920438124289,0.0,0.0,0.0,0.0,2.0,0.08,1
15.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.189898095464287,0.8164800158596311,0.0,0.0,0.0,0.0,0.0,0.0,0
35.0,28.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.900153016697712,0.760370017371486,0.0,0.0,0.0,0.0,0.0,0.0,0
62.0,20.0,35.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,12.0,0.0967741935483871,0.1935483870967742,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.505963246809119,0.7567710253268999,0.0,0.0,0.0,1.0,0.0,0.0,1
34.0,25.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.20588235294117646,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.138502179294739,0.8134707433612675,0.0,0.0,1.0,0.0,0.0,0.0,1
38.0,18.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0053148568942785,0.7632184031951446,0.0,0.0,0.0,0.0,0.0,0.0,1
