longitud_url,longitud_host,longitud_ruta,longitud_consulta,longitud_tld,cantidad_puntos,cantidad_guiones,cantidad_guion_bajo,cantidad_arroba,cantidad_interrogacion,cantidad_igual,cantidad_ampersand,cantidad_slash,cantidad_porcentaje,cantidad_digitos,cantidad_especiales,ratio_digitos,ratio_especiales,tiene_https,tiene_ip,cantidad_subdominios,tiene_puerto,palabras_sospechosas,tiene_punycode,tiene_redireccion_doble_slash,tiene_http_en_ruta,token_mas_largo,entropia_shannon,entropia_relativa,es_acortador,tiene_marca_en_host,tiene_prefijo_sufijo_host,cantidad_www,cantidad_digitos_host,ratio_digitos_host,estado_binario
64.0,18.0,39.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,0.171875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.138508938909887,0.6897514898183145,0.0,0.0,0.0,1.0,0.0,0.0,1
39.0,30.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.15384615384615385,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,4.092342603144792,0.7742726917811984,0.0,0.0,0.0,1.0,0.0,0.0,0
53.0,23.0,22.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,9.0,0.03773584905660377,0.16981132075471697,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.348308841756336,0.7591426725020626,0.0,0.0,1.0,1.0,0.0,0.0,0
34.0,17.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.20588235294117646,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.02085512047121,0.7903458454515236,0.0,0.0,0.0,1.0,0.0,0.0,0
33.0,16.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.21212121212121213,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.025920165587641,0.7980978627616943,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,14.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.20689655172413793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.9523029776623857,0.8135690488757453,0.0,0.0,0.0,0.0,0.0,0.0,1
71.0,35.0,29.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,11.0,0.08450704225352113,0.15492957746478872,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,4.5092166699968645,0.7332361123753084,0.0,1.0,1.0,0.0,0.0,0.0,1
37.0,18.0,12.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.1891891891891892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.262979041070738,0.8183160001387321,0.0,0.0,0.0,1.0,0.0,0.0,1
31.0,23.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.22580645161290322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.92599298842148,0.7924580986406043,0.0,0.0,1.0,1.0,0.0,0.0,0
27.0,18.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.2222222222222222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.5137847242254345,0.7389837767195684,0.0,0.0,0.0,1.0,0.0,0.0,0
79.0,18.0,53.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,8.0,16.0,0.10126582278481013,0.20253164556962025,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,4.7874459387869654,0.7594562898101074,0.0,1.0,0.0,0.0,0.0,0.0,0
45.0,16.0,21.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.17777777777777778,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.216651363324027,0.7678011937613748,0.0,0.0,0.0,0.0,0.0,0.0,0
24.0,16.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.605388542207534,0.786350715330922,0.0,0.0,0.0,1.0,0.0,0.0,0
28.0,14.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.21428571428571427,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.012188403968661,0.8345937566538978,0.0,0.0,0.0,0.0,0.0,0.0,0
27.0,19.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.25925925925925924,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,3.8561962982193805,0.8109963267195734,0.0,1.0,0.0,0.0,0.0,0.0,1
