longitud_url,longitud_host,longitud_ruta,longitud_consulta,longitud_tld,cantidad_puntos,cantidad_guiones,cantidad_guion_bajo,cantidad_arroba,cantidad_interrogacion,cantidad_igual,cantidad_ampersand,cantidad_slash,cantidad_porcentaje,cantidad_digitos,cantidad_especiales,ratio_digitos,ratio_especiales,tiene_https,tiene_ip,cantidad_subdominios,tiene_puerto,palabras_sospechosas,tiene_punycode,tiene_redireccion_doble_slash,tiene_http_en_ruta,token_mas_largo,entropia_shannon,entropia_relativa,es_acortador,tiene_marca_en_host,tiene_prefijo_sufijo_host,cantidad_www,cantidad_digitos_host,ratio_digitos_host,estado_binario
43.0,19.0,17.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.18604651162790697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.109306836490687,0.7572993619468698,0.0,0.0,0.0,1.0,0.0,0.0,0
50.0,13.0,30.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,0.02,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.155783629896564,0.7363376192018888,0.0,0.0,0.0,1.0,0.0,0.0,0
50.0,15.0,28.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.225979129983103,0.7487751260635477,0.0,0.0,0.0,1.0,0.0,0.0,0
87.0,16.0,64.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,16.0,0.0,0.1839080459770115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.648058692188715,0.7214185092859373,0.0,0.0,0.0,1.0,0.0,0.0,0
68.0,12.0,49.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,14.0,0.11764705882352941,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.530632196206695,0.7442562384949396,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,17.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.8332696895151073,0.8254496980237153,0.0,0.0,1.0,1.0,0.0,0.0,0
98.0,21.0,70.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.1326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.403125667929039,0.6656566609412641,0.0,0.0,0.0,0.0,0.0,0.0,0
166.0,10.0,31.0,0.0,2.0,3.0,7.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,62.0,22.0,0.37349397590361444,0.13253012048192772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.940716167395089,0.6699240340865203,0.0,0.0,0.0,0.0,0.0,0.0,1
99.0,11.0,81.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,7.0,0.12121212121212122,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.492957696200646,0.8285808127387606,0.0,0.0,0.0,0.0,0.0,0.0,1
38.0,25.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,6.0,0.21052631578947367,0.15789473684210525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.45148902643068,0.8482375213886486,0.0,0.0,0.0,0.0,8.0,0.32,1
42.0,22.0,13.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.19047619047619047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,4.243158791671846,0.7868896541118805,0.0,0.0,0.0,1.0,0.0,0.0,0
32.0,21.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.054229296672174,0.8108458593344349,0.0,0.0,1.0,1.0,0.0,0.0,1
104.0,28.0,59.0,8.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,3.0,17.0,0.028846153846153848,0.16346153846153846,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,5.411850598253163,0.8076858871815321,0.0,0.0,1.0,0.0,0.0,0.0,1
26.0,18.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.23076923076923078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.8731406795131322,0.8239953944234103,0.0,0.0,0.0,1.0,0.0,0.0,0
55.0,18.0,30.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,12.0,0.14545454545454545,0.21818181818181817,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.349922332557376,0.7524047193225769,0.0,0.0,0.0,1.0,0.0,0.0,0
